abstract description	抽象的描写
abstract sumti	抽象スムティ
abstraction	抽象化
abstraction selbri	抽象化セルブリ
abstractor	抽象詞
achievement	到達点
activity	活動
afterthought	後置
agent	動作主
ambiguous  曖昧な
amount	量
argument	項
argument tag	項タグ
aspect	相制
attitudinal indicator	心態詞
bridi	ブリディ
bridi-schema	ブリディ構成
bridi-tail	ブリディ末端
brivla	ブリヴラ
connection	接続
cmavo	シマヴォ
cmene	シメネ
complex	複合
compound	合成
connection	接続
connective	接続詞
contradictory negation	矛盾否定
conversion	転換 # （SE 類の機能）
convert	転換 # （SE 類の機能）
dependent place	依存する場所
described	記述された # （LE 類の意味）
description sumti	描写スムティ
description selbri	描写セルブリ
description	描写
descriptor	 描写型の冠詞
direct question	直接疑問
discursive	談話系
elidable	省略可能な
ellipsize	省略
ellipsis	省略
ellipsis of sumti	スムティの省略
elliptical	省略的
epistemology	認識論
evidential	明察系 # 検討中
event	出来事
event contour	事象線 # 検討中
forethought	前置
fu'ivla	フヒヴラ
gismu	ギスム
gloss	逐語訳
gloss word	見出し語
implicit-abstraction lujvo	暗黙抽象ルジヴォ
incidental relative phrase	付随関係句
indefinite	不定の
indirect question	間接疑問
interval   範囲
lexing  字句解析
logical	論理的
logical assertion 論理的表明
logical connection	論理接続
logical entailment	論理的前提
Lojban	ロジバン
Lojbanist	ロジバン話者
lujvo	ルジヴォ
marker	マーカー
modal	法制
modal place 法制場所
modifier	限定詞
non-logical	非論理的
observative	観察文
place	場所
place-holder	穴埋め語
place structure	場所構造 # あるいは PS?
point event	瞬間的出来事
polar opposite	正反対
predicate	命題
predication	断言
prefix	接頭辞
pro-sumti	代スムティ
process	過程
property	性質
propositional attitude	命題的態度
quality	質
quantity	量
rafsi	ラフシ
relationship	関係
restrictive relative phrase	限定関係句
root word	根語
scalar negation	段階否定
selbri	セルブリ
selma'o	セルマホ
semantic primitives	意味素
sentence	文
something-unspecified	不特定の何か
spatial tense	空間制
state	状態
stickiness	貼り付き # （ki の意味）
sticky	貼り付く # （ki の意味）
suffix	接尾辞
sumti	スムティ
sumti place	スムティの場所
sumti raising	スムティ昇格
sumti tcita	法制スムティ
tag	タグ
tanru	タンル
temporal tense	時間制
tense	間制
terminator	終端詞
term	名辞
termset	名辞組
truth value	真偽値
unspecified value	不特定項 # （zo'e の意味）
utterance	発話
vague  漠然とした
